Order/PO Number,External ID,Model number,ASIN,Merchant SKU,Title,List price,Discount,Cost,Quantity Ordered,Previously Confirmed Quantity,Quantity Confirmed,Quantity Canceled,Quantity Received,Hand Off Start,Hand Off End,Hand Off Type,Expected Hand Off Date,Availability Status,Error From Previous Upload Attempt,Vendor code,Fulfillment Center,Consolidation ID,Condition,Order date,Is Back Order,Freight terms,Payment Method,Special Instructions,Comments,Legal Entity Id,Currency code,External ID type,Item Package Quantity,Aggregate Quantity,Merchant Customer ID,Merchant Sku ratio,Priority
69VED3RS,6221319315669,2125176203,B0F43ZN457,,junior Printed Romper,EGP 118.43,35%,76.97,5,,5,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319313115,2125127612,B0F43ZN587,,junior Pajama Set (Body & Printed Short With suspenders),EGP 372.81,35%,242.32,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319317373,2125300505,B0F43ZR2BP,,junior Pajama Set (Sleeveless T-Shirt & Printed Short),EGP 507.90,35%,327.85,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319311753,2125122503,B0F43ZTWLT,,Junior Baby Boy Sleeveless Bib,EGP 104.39,34%,68.42,6,,6,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319312446,2125124812,B0F43ZTWPC,,Junior Baby Boy Set (9-12 Months),EGP 482.46,35%,313.6,5,,5,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319313412,2125129012,B0F43ZVBN8,,junior Pajama Set (Shirt & Printed Short),EGP 504.39,35%,327.85,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319313375,2125128912,B0F43ZWGQL,,junior Pajama Set (Shirt & Printed Short),EGP 372.81,35%,242.32,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319313276,2125128203,B0F43ZWXCK,,"junior Printed Beanie, 3",EGP 105.27,35%,68.42,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319316918,2125180524,B0F43ZX2BP,,"junior Pajama Set Dress & Printed Panty, 18",EGP 481.58,35%,313.6,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319311395,2125121118,B0F43ZYG3S,,"Junior Baby Boy T-Shirt & Shorts Set, 12-18 Months",EGP 507.90,35%,327.85,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319312477,2125124903,B0F43ZZ7SH,,Junior Baby Boy Wearable Blanket (0-3 Months),EGP 342.11,35%,222.37,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319313856,2125130803,B0F4415FK4,,junior Printed Romper,EGP 105.27,35%,68.42,5,,5,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319311234,2125120503,B0F44161Z3,,"Junior Aloha Hawaii Hooded Baby Blanket, 0-3 Months",EGP 342.11,35%,222.37,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319317649,2125301008,B0F4416MXK,,junior Pajama Set (Long Sleeve T-Shirt & Printed Pants),EGP 481.58,35%,313.6,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319316413,2125178803,B0F441853N,,"junior Pajama Set (T-Shirt & Printed Pants), 24",EGP 481.58,35%,313.6,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319328676,2125132803,B0F4418GX8,,"junior Printed Romper, 6 Years",EGP 104.39,34%,68.42,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319315560,2125175724,B0F441BRHC,,"junior Pajama Set (T-Shirt & Printed Pants), 18",EGP 437.72,35%,285.09,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
